CCS,CPT
63,36002
63,36482
63,36474
63,36591
63,36475
63,36465
63,92950
63,37213
63,37195
63,36576
63,37799
63,36420
63,36860
63,36466
63,36593
63,33968
63,37214
63,36476
63,36425
63,36473
63,36479
63,36590
63,0273T
63,36470
63,36592
63,36861
63,36596
63,92953
63,36575
63,37212
63,36478
63,36468
64,38210
64,38211
64,38208
64,38242
64,38207
64,38209
64,38206
64,38241
64,38212
64,38213
64,38215
64,38240
64,38214
64,38205
64,38243
65,38221
65,38220
65,38222
66,38101
66,38102
66,38115
66,38100
66,38129
66,38120
67,32674
67,0265T
67,49062
67,38305
67,38505
67,38555
67,38531
67,38550
67,38571
67,38589
67,38542
67,38720
67,38232
67,38382
67,38530
67,38562
67,38999
67,38573
67,38770
67,38381
67,38300
67,38570
67,38745
67,38794
67,38765
67,38380
67,38572
67,38520
67,38500
67,38780
67,49323
67,38760
67,38747
67,38700
67,92974
67,36680
67,38900
67,38510
67,38525
67,38308
67,38724
67,38564
67,38204
67,38230
67,38740
67,38746
68,43400
68,43243
68,43244
69,43214
69,43196
69,43453
69,43460
69,43226
69,43248
69,43450
69,43510
69,43220
69,43195
69,43233
69,43249
69,43213
70,43202
70,43200
70,44384
70,43210
70,43255
70,43229
70,44382
70,44377
70,44376
70,43236
70,44385
70,43217
70,43204
70,43259
70,43191
70,43201
70,44381
70,43197
70,44360
70,43266
70,43211
70,44361
70,43232
70,43257
70,43270
70,44386
70,43252
70,43239
70,43247
70,43254
70,43180
70,43206
70,44380
70,43231
70,43253
70,43192
70,43212
70,43235
70,43241
70,43193
70,43237
70,43198
70,43240
70,43242
70,43250
70,43205
70,44379
70,43238
70,43251
71,43246
71,43762
71,49450
71,43831
71,43830
71,43653
71,49440
71,43832
71,49452
71,43763
71,44373
72,57307
72,45825
72,45805
72,44322
72,44345
72,44188
72,44320
72,44605
72,45563
72,44340
73,48150
73,48153
73,48154
73,49451
73,44015
73,44310
73,47802
73,48152
73,44312
73,44187
73,48001
73,44316
73,44300
73,49442
73,44186
73,44314
73,49446
73,49441
73,44130
74,43622
74,43632
74,43633
74,43631
74,43621
74,43620
74,43634
75,44202
75,44133
75,44120
75,44203
75,44126
75,44661
75,44121
75,43496
75,44125
75,44132
75,44127
75,44128
76,44391
76,45382
76,45389
76,44405
76,45380
76,45378
76,45393
76,45390
76,44392
76,44404
76,44406
76,45500
76,45381
76,44388
76,44407
76,44394
76,45385
76,44402
76,45384
76,44408
76,45391
76,45392
76,44403
76,45388
76,45386
76,45398
76,45505
76,44389
76,44401
77,45327
77,45333
77,45331
77,45321
77,45337
77,46601
77,45349
77,46607
77,45309
77,45315
77,45330
77,45305
77,46606
77,46600
77,45342
77,46612
77,45303
77,45300
77,45341
77,45334
77,45350
77,45335
77,46614
77,45308
77,45340
77,46611
77,45338
77,45347
77,45346
77,46615
77,45317
77,45320
77,46610
77,45100
77,46604
78,44151
78,45121
78,44212
78,44141
78,45397
78,45395
78,45112
78,44143
78,45160
78,45126
78,44205
78,45171
78,44208
78,45172
78,45111
78,45116
78,44155
78,44157
78,44207
78,44144
78,44140
78,44210
78,45136
78,44147
78,45110
78,45113
78,45550
78,44158
78,44156
78,45130
78,44211
78,45114
78,45123
78,44150
78,45119
78,45135
78,44160
78,44204
78,44139
78,44145
78,45402
78,44146
78,45120
78,44213
78,44206
79,44111
79,44110
80,44979
80,44950
80,44960
